year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2000.0,6.8,9400.0,110.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,1000000.0,38930959.49,1666028.0
2000.0,5.9,15000.0,90.0,15.0,40.0,80.0,30064.61,6.0,36815715.74,24000000.0,38930959.49,12591270.0
2000.0,6.5,6900.0,105.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,8500000.0,38930959.49,270745.0
2000.0,7.0,20000.0,95.0,17.0,40.0,80.0,30064.61,10.0,36815715.74,6000000.0,44331874.3,35547761.0
2000.0,6.1,9200.0,112.0,17.0,40.0,80.0,30064.61,6.0,36815715.74,21000000.0,44331874.3,6620242.0
2000.0,5.9,9100.0,114.0,13.0,60.0,90.0,102137.26,6.0,87793911.98,16000000.0,39401196.17,321279.0
2000.0,5.0,9900.0,105.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,63000000.0,44331874.3,10890222.0
2000.0,6.6,13000.0,94.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,3600000.0,39401196.17,43805.0
2000.0,5.1,14000.0,107.0,13.0,50.0,80.0,82822.56,6.0,74591008.15,65000000.0,39401196.17,40443010.0
2000.0,6.2,12000.0,78.0,13.0,40.0,80.0,30064.61,9.0,36815715.74,30000000.0,239229987.45,103291131.0
2000.0,6.7,38000.0,94.0,17.0,80.0,80.0,236700.88,10.0,191060303.56,25000000.0,44331874.3,29934477.0
2000.0,5.7,20000.0,106.0,15.0,50.0,90.0,82822.56,8.0,74591008.15,35000000.0,38930959.49,53425292.0
2000.0,6.2,33000.0,110.0,17.0,50.0,90.0,82822.56,6.0,74591008.15,35000000.0,44331874.3,29364989.0
2000.0,7.0,7200.0,135.0,13.0,50.0,100.0,82822.56,10.0,74591008.15,10000000.0,23549374.88,5164404.0
2000.0,5.6,3700.0,112.0,17.0,70.0,90.0,149101.61,8.0,118734218.5,14000000.0,44331874.3,3169930.0
2000.0,5.2,8300.0,96.0,15.0,40.0,80.0,30064.61,8.0,36815715.74,15000000.0,38930959.49,10873148.0
2000.0,5.9,21000.0,122.0,15.0,60.0,80.0,102137.26,6.0,87793911.98,8000000.0,38930959.49,105983.0
2000.0,6.4,18000.0,77.0,13.0,40.0,80.0,30064.61,9.0,36815715.74,30000000.0,239229987.45,96159800.0
2000.0,5.6,9100.0,105.0,17.0,70.0,90.0,149101.61,6.0,118734218.5,60000000.0,44331874.3,14145677.0
2000.0,5.1,3700.0,98.0,17.0,40.0,90.0,30064.61,6.0,36815715.74,3000000.0,44331874.3,40361.0
2000.0,7.1,6100.0,121.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,8000000.0,38930959.49,3033646.0
2000.0,5.8,2200.0,82.0,19.0,40.0,80.0,30064.61,6.0,36815715.74,1000000.0,145508580.85,13276.0
2000.0,6.0,4400.0,93.0,13.0,60.0,80.0,102137.26,10.0,87793911.98,13000000.0,23549374.88,299792.0
2000.0,4.8,11000.0,97.0,15.0,70.0,80.0,149101.61,6.0,118734218.5,50000000.0,38930959.49,31355910.0
2000.0,5.9,4200.0,130.0,15.0,50.0,90.0,82822.56,6.0,74591008.15,15000000.0,38930959.49,5753678.0
